# timestamp x y z qx qy qz qw num_features num_matches num_inliers
1336386993.977028847 -1.4011 3.35634 0.430182 0.100618 0.0152958 -0.757492 0.644862 5018 1185 965
1336386994.076264858 -1.40681 3.35859 0.428417 0.101559 0.0160364 -0.756256 0.646146 5100 1235 1003
1336386994.175501823 -1.40814 3.36074 0.429853 0.103688 0.0158805 -0.755294 0.646937 5082 1184 967
1336386994.274739027 -1.42357 3.35569 0.422658 0.0996251 0.0173636 -0.75517 0.647682 5155 1221 983
1336386994.373975992 -1.42908 3.35673 0.423115 0.100326 0.0178264 -0.7549 0.647875 5123 1208 1001
1336386994.473212957 -1.43905 3.35888 0.421181 0.0998923 0.0196253 -0.7549 0.64789 5055 1216 994
1336386994.572449923 -1.45441 3.35414 0.414722 0.0964471 0.0205966 -0.755607 0.647559 4985 1168 955
1336386994.671686888 -1.46903 3.35303 0.409713 0.0942335 0.0219628 -0.756511 0.646784 5018 1184 993
1336386994.770925045 -1.47707 3.37086 0.416662 0.0989487 0.0261758 -0.756587 0.645833 5027 1181 948
1336386994.870161057 -1.49431 3.36624 0.408135 0.0955427 0.0262338 -0.75799 0.644697 5000 1173 976
1336386994.969398975 -1.512 3.36578 0.40466 0.0936537 0.0268699 -0.75927 0.643441 5026 1180 992
1336386995.068634987 -1.53155 3.36896 0.398376 0.0923001 0.0282096 -0.760414 0.642227 4991 1179 979
1336386995.167871952 -1.54213 3.38282 0.402855 0.0966599 0.0293138 -0.760702 0.641194 5003 1143 969
1336386995.267108917 -1.57235 3.38133 0.394129 0.0924067 0.0302634 -0.761685 0.640609 5035 1173 989
1336386995.366346836 -1.58801 3.38551 0.392498 0.094298 0.0283485 -0.761576 0.640552 4915 1120 942
1336386995.465581894 -1.60913 3.3945 0.391781 0.0961888 0.0284936 -0.761192 0.64072 5002 1191 997
1336386995.564820051 -1.63331 3.38887 0.383945 0.0940025 0.0251131 -0.760787 0.641667 4843 1115 963
1336386995.664057016 -1.65874 3.3952 0.379716 0.0943799 0.0249454 -0.759239 0.643449 4872 1164 1010
1336386995.763293028 -1.6781 3.39292 0.375744 0.0944129 0.0212569 -0.757489 0.645636 4893 1147 972
1336386995.862529993 -1.6936 3.39472 0.372557 0.0958215 0.0179324 -0.755754 0.647559 4940 1200 1025
1336386995.961768866 -1.71505 3.39108 0.369024 0.0938112 0.0147854 -0.754882 0.648949 4852 1199 1008
1336386996.061003923 -1.72979 3.40105 0.365945 0.0957199 0.0138755 -0.753711 0.65005 4791 1181 1019
1336386996.160240889 -1.74338 3.40544 0.3645 0.0962277 0.0120081 -0.752881 0.650974 4829 1172 1014
1336386996.259479046 -1.76093 3.40401 0.36028 0.0934906 0.0103176 -0.752623 0.6517 4692 1161 994
1336386996.358715057 -1.76995 3.40472 0.359193 0.0931395 0.00794122 -0.752336 0.652114 4725 1181 1004
1336386996.457952023 -1.77488 3.40027 0.360845 0.0924706 0.00394771 -0.75218 0.652425 4694 1213 1026
1336386996.557188988 -1.78831 3.41352 0.357997 0.0929803 0.00709867 -0.751988 0.652548 4604 1203 1010
1336386996.656425953 -1.79487 3.41715 0.358608 0.0933197 0.00674346 -0.751967 0.652527 4677 1209 1031
1336386996.755662918 -1.80343 3.41097 0.358882 0.0909939 0.0049744 -0.752288 0.652502 4725 1198 1019
1336386996.854899883 -1.81768 3.42129 0.35757 0.0906741 0.00931372 -0.752387 0.652384 4661 1177 1015
1336386996.954135895 -1.83134 3.42113 0.356623 0.0883693 0.0114173 -0.752691 0.652316 4554 1170 1025
1336386997.053374052 -1.83841 3.42767 0.359339 0.0895279 0.0141244 -0.752829 0.651946 4622 1164 1013
1336386997.152609825 -1.8554 3.42534 0.354193 0.0860353 0.0170026 -0.75348 0.651595 4652 1186 1034
1336386997.251847982 -1.86025 3.43359 0.357912 0.0886456 0.0199581 -0.753614 0.651006 4628 1163 1006
